geoid,period,confirmed_cases_total,death_total,cases,death,pop,confirmed_rate_total,death_rate_tatal,confirmed_rate,death_rate
42089,2020-03-16,27,0,8,0,62622,4.31,0.00,1.28,0.00
30111,2020-03-16,6,0,3,0,2192,27.37,0.00,13.69,0.00
12099,2020-03-16,24,0,7,0,326500,0.74,0.00,0.21,0.00
30093,2020-03-16,4,0,1,0,34980,1.14,0.00,0.29,0.00
51153,2020-03-16,11,0,3,0,110155,1.00,0.00,0.27,0.00
12097,2020-03-16,7,0,4,0,2784,25.14,0.00,14.37,0.00
42103,2020-03-16,5,0,1,0,114000,0.44,0.00,0.09,0.00
19103,2020-03-16,97,0,8,0,48097,20.17,0.00,1.66,0.00
15003,2020-03-16,20,0,4,0,7371,27.13,0.00,5.43,0.00
30063,2020-03-16,6,0,2,0,5565,10.78,0.00,3.59,0.00
12095,2020-03-16,8,1,4,1,48736,1.64,0.2051871306631648,0.82,0.2051871306631648
42101,2020-03-16,26,0,8,0,10185,25.53,0.00,7.85,0.00
40027,2020-03-16,2,0,1,0,149986,0.13,0.00,0.07,0.00
30049,2020-03-16,4,0,1,0,17444,2.29,0.00,0.57,0.00
8059,2020-03-16,56,0,16,0,12012,46.62,0.00,13.32,0.00
30031,2020-03-16,4,0,1,0,36032,1.11,0.00,0.28,0.00
15007,2020-03-16,6,0,2,0,49734,1.21,0.00,0.40,0.00
18005,2020-03-16,1,0,1,0,6921,1.44,0.00,1.44,0.00
12091,2020-03-16,7,0,0,0,59696,1.17,0.00,0.00,0.00
36087,2020-03-16,69,3,12,1,132874,5.19,0.22577780453662868,0.90,0.08
49053,2020-03-16,7,0,0,0,1967,35.59,0.00,0.00,0.00
37195,2020-03-16,2,0,1,0,53390,0.37,0.00,0.19,0.00
51147,2020-03-16,5,0,1,0,15100,3.31,0.00,0.66,0.00
39035,2020-03-16,69,0,21,0,27517,25.08,0.00,7.63,0.00
12117,2020-03-16,8,0,4,0,36655,2.18,0.00,1.09,0.00
18081,2020-03-16,18,0,3,0,59394,3.03,0.00,0.51,0.00
36091,2020-03-16,21,0,3,0,81774,2.57,0.00,0.37,0.00
12115,2020-03-16,11,0,3,0,31175,3.53,0.00,0.96,0.00
36071,2020-03-16,27,0,11,0,29755,9.07,0.00,3.70,0.00
12113,2020-03-16,7,7,0,0,301,232.56,232.5581395348837,0.00,0.00
51179,2020-03-16,1,0,1,0,13803,0.72,0.00,0.72,0.00
8123,2020-03-16,11,0,4,0,176,625.00,0.00,227.27,0.00
41005,2020-03-16,6,0,2,0,5750,10.43,0.00,3.48,0.00
42091,2020-03-16,122,0,23,0,1022,1193.74,0.00,225.05,0.00
51177,2020-03-16,3,0,1,0,4737,6.33,0.00,2.11,0.00
51085,2020-03-16,5,0,1,0,102620,0.49,0.00,0.10,0.00
