tractid,period,pop19,nhwht19,nhblk19,hisp19,asian19,fb19,n10imm19,col19,unemp19,prof19,manuf19,npov19,vac19,own19,dmulti19,multi19,h30old19,h10yrs19,a18und19,a60up19
48015760200,2019,5876,3205,616,2008,16,755,18,823,157,777,334,873,219,1775,2350,91,1016,908,1666,1168
48015760300,2019,6777,3752,310,2500,0,833,68,734,165,951,345,737,343,1732,2894,461,1622,1376,1695,1800
48015760400,2019,4009,2851,323,719,95,330,42,775,36,639,252,505,682,1386,2240,21,1328,518,788,1217
48261950100,2019,568,30,0,538,0,93,11,4,0,8,13,31,80,46,277,11,219,58,168,152
48355005900,2019,2997,544,0,2453,0,292,36,265,81,274,59,706,257,758,1190,0,768,215,865,510
48355001200,2019,4389,1303,183,2868,25,422,159,440,79,378,99,1097,508,514,2294,1388,1772,1218,629,1148
48355002303,2019,4383,1023,212,3148,0,379,49,498,128,441,187,419,68,773,1646,670,1581,867,985,934
48355003202,2019,6339,1995,355,3548,302,564,292,1293,142,1391,64,549,108,1783,2384,346,1122,1327,1543,997
48355005802,2019,6810,2788,32,3866,5,201,13,806,124,921,308,509,273,1891,2538,26,1254,864,1699,1523
48355001100,2019,1876,243,156,1464,0,249,69,30,33,44,7,1035,167,218,804,310,575,334,516,395
48029181503,2019,8430,3139,348,4316,407,1327,380,2223,143,2512,131,1110,247,925,3734,2556,1366,2794,1595,1266
48029181703,2019,7484,3364,76,3638,355,590,257,2444,174,2017,129,1077,120,1905,2822,735,1514,1278,1326,1587
48029180300,2019,5207,542,113,4522,15,551,23,374,176,582,154,986,129,805,1612,381,1604,617,1509,975
48029181716,2019,8871,1495,348,6790,0,1114,175,1212,198,1461,242,948,107,1625,2645,188,1965,1221,2132,837
48029191003,2019,9238,1500,507,7093,0,1612,393,1033,381,691,169,2425,201,1314,3184,1685,2644,1790,2455,1310
48029121404,2019,5548,1031,1255,3016,121,1028,396,203,207,303,148,2157,212,744,2103,923,1450,1193,1701,998
48041001900,2019,5843,4292,537,871,90,313,64,2184,92,1068,206,775,258,1621,2861,1121,2175,1504,1251,1807
48041002002,2019,8741,5990,586,1308,323,405,191,3053,101,2598,341,1110,422,1760,4157,1881,1214,2472,1888,1547
48041000604,2019,6476,635,773,4951,0,2539,514,168,131,305,464,2139,235,707,2099,537,1091,1195,2222,566
48041000700,2019,3270,944,563,1735,21,793,159,292,31,393,56,549,151,580,1279,301,1022,684,1089,453
48493000403,2019,7022,3930,110,2841,113,101,11,1326,172,1076,164,768,154,2115,2501,14,448,863,1480,1415
48493000404,2019,7234,4015,186,2899,0,221,0,1606,297,1471,276,489,42,2084,2201,0,275,1002,1913,1154
48455950300,2019,2316,1945,166,200,5,66,5,215,134,300,103,377,363,609,1163,96,664,337,520,726
48455950400,2019,4179,3810,107,206,0,16,0,454,70,421,58,414,883,1437,2690,44,1792,919,853,1795
48455950200,2019,3644,2943,291,401,0,217,71,383,46,401,0,446,1034,1142,2514,45,1609,673,655,1348
